Year DayOfYear Hour Kp Dst F107
2020   1  0  3    -6  69.4
2020   1  1  3     0  69.4
2020   1  2  3     4  69.4
2020   1  3  0     6  69.4
2020   1  4  0     8  69.4
2020   1  5  0    11  69.4
2020   1  6  0    12  69.4
2020   1  7  0     9  69.4
2020   1  8  0     5  69.4
2020   1  9  7     2  69.4
2020   1 10  7     2  69.4
2020   1 11  7     4  69.4
2020   1 12  7     4  69.4
2020   1 13  7     3  69.4
2020   1 14  7     4  69.4
2020   1 15 13     3  69.4
2020   1 16 13    -1  69.4
2020   1 17 13    -2  69.4
2020   1 18 10    -1  69.4
2020   1 19 10     2  69.4
2020   1 20 10     5  69.4
2020   1 21  7     6  69.4
2020   1 22  7     5  69.4
2020   1 23  7     4  69.4
2020   2  0  0     2  69.5
2020   2  1  0     5  69.5
2020   2  2  0     8  69.5
2020   2  3  0     8  69.5
2020   2  4  0     9  69.5
2020   2  5  0    10  69.5
2020   2  6  3    10  69.5
2020   2  7  3     9  69.5
2020   2  8  3     7  69.5
2020   2  9  3     2  69.5
2020   2 10  3    -1  69.5
2020   2 11  3     1  69.5
2020   2 12  3     4  69.5
2020   2 13  3     2  69.5
2020   2 14  3     1  69.5
2020   2 15  7     0  69.5
2020   2 16  7    -3  69.5
2020   2 17  7    -3  69.5
2020   2 18 10    -4  69.5
2020   2 19 10    -2  69.5
2020   2 20 10    -1  69.5
2020   2 21 10    -3  69.5
2020   2 22 10    -3  69.5
2020   2 23 10     1  69.5
2020   3  0  7     6  68.9
2020   3  1  7     8  68.9
2020   3  2  7    10  68.9
2020   3  3 10    11  68.9
2020   3  4 10    14  68.9
2020   3  5 10    14  68.9
2020   3  6 27     6  68.9
2020   3  7 27     3  68.9
2020   3  8 27    -6  68.9
2020   3  9 20   -10  68.9
2020   3 10 20    -5  68.9
2020   3 11 20     1  68.9
2020   3 12 10     0  68.9
2020   3 13 10    -2  68.9
2020   3 14 10    -4  68.9
2020   3 15  7    -5  68.9
2020   3 16  7    -3  68.9
2020   3 17  7    -3  68.9
2020   3 18  3    -3  68.9
2020   3 19  3    -2  68.9
2020   3 20  3    -3  68.9
2020   3 21 13    -7  68.9
2020   3 22 13    -8  68.9
2020   3 23 13   -10  68.9
2020   4  0 17    -8  69.8
2020   4  1 17    -7  69.8
2020   4  2 17    -4  69.8
2020   4  3  7    -3  69.8
2020   4  4  7    -2  69.8
2020   4  5  7    -6  69.8
2020   4  6  7    -8  69.8
2020   4  7  7    -9  69.8
2020   4  8  7    -7  69.8
2020   4  9  7    -5  69.8
2020   4 10  7    -2  69.8
2020   4 11  7     0  69.8
2020   4 12 10     0  69.8
2020   4 13 10    -1  69.8
2020   4 14 10    -5  69.8
2020   4 15 20   -11  69.8
2020   4 16 20   -18  69.8
2020   4 17 20   -24  69.8
2020   4 18 23   -24  69.8
2020   4 19 23   -21  69.8
2020   4 20 23   -18  69.8
2020   4 21 20   -22  69.8
2020   4 22 20   -20  69.8
2020   4 23 20   -18  69.8
2020   5  0 17   -15  69.4
2020   5  1 17   -15  69.4
2020   5  2 17   -12  69.4
2020   5  3 10    -9  69.4
2020   5  4 10    -8  69.4
2020   5  5 10    -9  69.4
2020   5  6 17    -6  69.4
2020   5  7 17    -8  69.4
2020   5  8 17    -4  69.4
2020   5  9 13    -2  69.4
2020   5 10 13    -1  69.4
2020   5 11 13     2  69.4
2020   5 12 20     3  69.4
2020   5 13 20     6  69.4
2020   5 14 20     4  69.4
2020   5 15 20     3  69.4
2020   5 16 20     2  69.4
2020   5 17 20     7  69.4
2020   5 18 33     5  69.4
2020   5 19 33   -15  69.4
2020   5 20 33   -19  69.4
2020   5 21 27   -21  69.4
2020   5 22 27   -18  69.4
2020   5 23 27   -19  69.4
2020   6  0 33   -23  68.1
2020   6  1 33   -23  68.1
2020   6  2 33   -16  68.1
2020   6  3 30   -10  68.1
2020   6  4 30    -9  68.1
2020   6  5 30   -10  68.1
2020   6  6 17   -10  68.1
2020   6  7 17   -10  68.1
2020   6  8 17    -9  68.1
2020   6  9  3    -7  68.1
2020   6 10  3    -4  68.1
2020   6 11  3    -4  68.1
2020   6 12  7    -4  68.1
2020   6 13  7    -6  68.1
2020   6 14  7    -6  68.1
2020   6 15 10    -3  68.1
2020   6 16 10    -5  68.1
2020   6 17 10    -7  68.1
2020   6 18 23   -12  68.1
2020   6 19 23   -15  68.1
2020   6 20 23   -10  68.1
2020   6 21 17    -8  68.1
2020   6 22 17    -3  68.1
2020   6 23 17    -3  68.1
2020   7  0 10    -7  69.3
2020   7  1 10    -8  69.3
2020   7  2 10    -5  69.3
2020   7  3 17    -4  69.3
2020   7  4 17    -7  69.3
2020   7  5 17    -7  69.3
2020   7  6 10    -6  69.3
2020   7  7 10    -6  69.3
2020   7  8 10    -7  69.3
2020   7  9  3    -7  69.3
2020   7 10  3    -4  69.3
2020   7 11  3    -2  69.3
2020   7 12  7    -3  69.3
2020   7 13  7    -3  69.3
2020   7 14  7    -2  69.3
2020   7 15 10     0  69.3
2020   7 16 10    -3  69.3
2020   7 17 10    -8  69.3
2020   7 18 13    -9  69.3
2020   7 19 13    -6  69.3
2020   7 20 13    -4  69.3
2020   7 21 20    -8  69.3
2020   7 22 20   -10  69.3
2020   7 23 20    -7  69.3
2020   8  0 10    -6  71.2
2020   8  1 10    -5  71.2
2020   8  2 10    -5  71.2
2020   8  3 10    -5  71.2
2020   8  4 10    -2  71.2
2020   8  5 10    -4  71.2
2020   8  6  3   -10  71.2
2020   8  7  3   -15  71.2
2020   8  8  3   -17  71.2
2020   8  9  3   -16  71.2
2020   8 10  3   -11  71.2
2020   8 11  3    -4  71.2
2020   8 12 17     2  71.2
2020   8 13 17     1  71.2
2020   8 14 17     2  71.2
2020   8 15 27    -1  71.2
2020   8 16 27    -2  71.2
2020   8 17 27   -10  71.2
2020   8 18 17   -16  71.2
2020   8 19 17   -16  71.2
2020   8 20 17   -13  71.2
2020   8 21 23   -18  71.2
2020   8 22 23   -21  71.2
2020   8 23 23   -21  71.2
2020   9  0 27   -20  71.9
2020   9  1 27   -19  71.9
2020   9  2 27   -15  71.9
2020   9  3 30   -12  71.9
2020   9  4 30   -11  71.9
2020   9  5 30   -18  71.9
2020   9  6 37   -24  71.9
2020   9  7 37   -31  71.9
2020   9  8 37   -30  71.9
2020   9  9 23   -28  71.9
2020   9 10 23   -27  71.9
2020   9 11 23   -19  71.9
2020   9 12 17   -21  71.9
2020   9 13 17   -20  71.9
2020   9 14 17   -19  71.9
2020   9 15 23   -15  71.9
2020   9 16 23   -10  71.9
2020   9 17 23   -10  71.9
2020   9 18 23   -15  71.9
2020   9 19 23   -21  71.9
2020   9 20 23   -22  71.9
2020   9 21 17   -18  71.9
2020   9 22 17   -15  71.9
2020   9 23 17    -9  71.9
2020  10  0 10    -7  70.4
2020  10  1 10    -7  70.4
2020  10  2 10    -8  70.4
2020  10  3  7    -7  70.4
2020  10  4  7    -7  70.4
2020  10  5  7    -9  70.4
2020  10  6 23   -13  70.4
2020  10  7 23   -13  70.4
2020  10  8 23   -13  70.4
2020  10  9 23   -14  70.4
2020  10 10 23   -14  70.4
2020  10 11 23   -17  70.4
2020  10 12 17   -15  70.4
2020  10 13 17   -11  70.4
2020  10 14 17    -8  70.4
2020  10 15 17    -7  70.4
2020  10 16 17    -9  70.4
2020  10 17 17    -8  70.4
2020  10 18 13    -9  70.4
2020  10 19 13    -9  70.4
2020  10 20 13   -11  70.4
2020  10 21  7   -11  70.4
2020  10 22  7    -7  70.4
2020  10 23  7    -9  70.4
2020  11  0 20    -8  71.0
2020  11  1 20    -5  71.0
2020  11  2 20    -5  71.0
2020  11  3 23    -7  71.0
2020  11  4 23   -10  71.0
2020  11  5 23    -9  71.0
2020  11  6 20   -12  71.0
2020  11  7 20   -14  71.0
2020  11  8 20   -18  71.0
2020  11  9 13   -17  71.0
2020  11 10 13   -14  71.0
2020  11 11 13   -11  71.0
2020  11 12  3    -6  71.0
2020  11 13  3    -4  71.0
2020  11 14  3    -4  71.0
2020  11 15 13    -3  71.0
2020  11 16 13    -3  71.0
2020  11 17 13    -4  71.0
2020  11 18  3    -5  71.0
2020  11 19  3    -4  71.0
2020  11 20  3    -4  71.0
2020  11 21  7    -8  71.0
2020  11 22  7    -8  71.0
2020  11 23  7    -9  71.0
2020  12  0 10    -7  69.5
2020  12  1 10    -5  69.5
2020  12  2 10    -4  69.5
2020  12  3 17    -5  69.5
2020  12  4 17    -6  69.5
2020  12  5 17    -7  69.5
2020  12  6  7   -10  69.5
2020  12  7  7   -13  69.5
2020  12  8  7   -16  69.5
2020  12  9  3   -14  69.5
2020  12 10  3   -12  69.5
2020  12 11  3   -10  69.5
2020  12 12  3    -7  69.5
2020  12 13  3    -4  69.5
2020  12 14  3    -2  69.5
2020  12 15  0    -1  69.5
2020  12 16  0    -3  69.5
2020  12 17  0    -5  69.5
2020  12 18  0    -6  69.5
2020  12 19  0    -7  69.5
2020  12 20  0    -6  69.5
2020  12 21  3    -8  69.5
2020  12 22  3    -6  69.5
2020  12 23  3    -3  69.5
2020  13  0  3    -4  69.1
2020  13  1  3    -2  69.1
2020  13  2  3     0  69.1
2020  13  3  7    -1  69.1
2020  13  4  7    -2  69.1
2020  13  5  7    -1  69.1
2020  13  6  3    -1  69.1
2020  13  7  3    -1  69.1
2020  13  8  3    -3  69.1
2020  13  9  3    -2  69.1
2020  13 10  3    -3  69.1
2020  13 11  3    -4  69.1
2020  13 12  3    -5  69.1
2020  13 13  3    -3  69.1
2020  13 14  3     1  69.1
2020  13 15  0     1  69.1
2020  13 16  0    -2  69.1
2020  13 17  0    -1  69.1
2020  13 18  7    -1  69.1
2020  13 19  7    -2  69.1
2020  13 20  7    -2  69.1
2020  13 21  7     0  69.1
2020  13 22  7     1  69.1
2020  13 23  7     1  69.1
2020  14  0  3    -1  69.5
2020  14  1  3     0  69.5
2020  14  2  3     3  69.5
2020  14  3  3     5  69.5
2020  14  4  3     5  69.5
2020  14  5  3     4  69.5
2020  14  6  3     1  69.5
2020  14  7  3     0  69.5
2020  14  8  3    -3  69.5
2020  14  9  7    -6  69.5
2020  14 10  7    -5  69.5
2020  14 11  7    -4  69.5
2020  14 12  3    -5  69.5
2020  14 13  3    -7  69.5
2020  14 14  3    -8  69.5
2020  14 15  3    -5  69.5
2020  14 16  3    -6  69.5
2020  14 17  3    -4  69.5
2020  14 18  0    -5  69.5
2020  14 19  0    -4  69.5
2020  14 20  0    -2  69.5
2020  14 21  0     0  69.5
2020  14 22  0    -2  69.5
2020  14 23  0    -4  69.5
2020  15  0  3    -6  68.9
2020  15  1  3    -4  68.9
2020  15  2  3    -1  68.9
2020  15  3  0     3  68.9
2020  15  4  0     5  68.9
2020  15  5  0     6  68.9
2020  15  6  7     3  68.9
2020  15  7  7     0  68.9
2020  15  8  7    -2  68.9
2020  15  9 20    -7  68.9
2020  15 10 20   -10  68.9
2020  15 11 20    -6  68.9
2020  15 12  7    -1  68.9
2020  15 13  7     0  68.9
2020  15 14  7     0  68.9
2020  15 15  7     3  68.9
2020  15 16  7     4  68.9
2020  15 17  7     7  68.9
2020  15 18  7     6  68.9
2020  15 19  7     9  68.9
2020  15 20  7    13  68.9
2020  15 21 13     9  68.9
2020  15 22 13     4  68.9
2020  15 23 13     1  68.9
2020  16  0  7     0  69.4
2020  16  1  7     3  69.4
2020  16  2  7     7  69.4
2020  16  3 23     7  69.4
2020  16  4 23    10  69.4
2020  16  5 23     7  69.4
2020  16  6 17    10  69.4
2020  16  7 17     6  69.4
2020  16  8 17     3  69.4
2020  16  9 13    -2  69.4
2020  16 10 13    -9  69.4
2020  16 11 13   -13  69.4
2020  16 12  7   -12  69.4
2020  16 13  7    -9  69.4
2020  16 14  7    -9  69.4
2020  16 15  7    -6  69.4
2020  16 16  7    -4  69.4
